Dataset,Feature,# of data points,# non-constant descriptors,Fisher Separability ID
CHEMBL3032,maccs_keys,282,134,6.9879698834846256
CHEMBL3045,embed,252,16,2.46686146015863
CHEMBL3045,mfp_r2_1024,252,867,5.612506960297512
CHEMBL3045,maccs_keys,252,132,4.507283873130044
CHEMBL3048,embed,461,16,2.4314789517381667
CHEMBL3048,mfp_r2_1024,461,890,8.066955007506627
CHEMBL3048,maccs_keys,461,139,4.881534885451695
CHEMBL3060,embed,166,16,2.1531296942711595
CHEMBL3060,mfp_r2_1024,166,655,5.9359837697420845
CHEMBL3060,maccs_keys,166,124,3.666628254406041
CHEMBL3066,embed,306,16,2.402477170617773
CHEMBL3066,mfp_r2_1024,306,841,4.111812923269625
CHEMBL3066,maccs_keys,306,130,4.128723005023357
CHEMBL3067,embed,144,16,2.0964794024521773
CHEMBL3067,mfp_r2_1024,144,573,6.4887504123215365
CHEMBL3067,maccs_keys,144,125,2.8065649354564464
CHEMBL3070,embed,157,16,1.661459203826591
CHEMBL3070,mfp_r2_1024,157,622,6.2459766713729845
CHEMBL3070,maccs_keys,157,134,4.036508771525159
CHEMBL3072,embed,341,16,1.6007487072827475
CHEMBL3072,mfp_r2_1024,341,892,7.995656885759704
CHEMBL3072,maccs_keys,341,140,4.659165323911596
CHEMBL3081,embed,264,16,2.6137478477123426
CHEMBL3081,mfp_r2_1024,264,745,5.902702729291765
CHEMBL3081,maccs_keys,264,136,4.5610673204501095
CHEMBL3105,embed,2641,16,2.840876852933924
CHEMBL3105,mfp_r2_1024,2641,1022,9.101184102945505
CHEMBL3105,maccs_keys,2641,146,7.076738773527571
CHEMBL3106,embed,168,16,2.4125417153524373
CHEMBL3106,mfp_r2_1024,168,615,5.983614093784482
CHEMBL3106,maccs_keys,168,135,3.982568150837907
CHEMBL3116,embed,450,16,2.762696060523614
CHEMBL3116,mfp_r2_1024,450,960,8.503676304525088
CHEMBL3116,maccs_keys,450,139,5.831287784248939
CHEMBL3122,embed,89,16,2.318117240162775
CHEMBL3122,mfp_r2_1024,89,518,7.545511131274449
CHEMBL3122,maccs_keys,89,125,3.072208097979694
CHEMBL3130,embed,2008,16,2.82595870630249
CHEMBL3130,mfp_r2_1024,2008,1023,8.454622596082682
CHEMBL3130,maccs_keys,2008,146,6.239906801561105
CHEMBL3138,embed,485,16,2.780161055286809
CHEMBL3138,mfp_r2_1024,485,884,7.662991156328742
CHEMBL3138,maccs_keys,485,134,5.008417834518894
CHEMBL3142,embed,370,16,2.64992755588143
CHEMBL3142,mfp_r2_1024,370,837,7.788177714342478
CHEMBL3142,maccs_keys,370,139,4.005943127854433
CHEMBL3145,embed,1279,16,2.831564329051365
CHEMBL3145,mfp_r2_1024,1279,1015,7.821257142234499
CHEMBL3145,maccs_keys,1279,147,5.638426867271851
CHEMBL3155,embed,1529,16,2.7797704799537257
CHEMBL3155,mfp_r2_1024,1529,1013,8.507609629349009
CHEMBL3155,maccs_keys,1529,144,5.879287352770989
CHEMBL3156,embed,107,16,1.6440838021165871
CHEMBL3156,mfp_r2_1024,107,466,4.734008661416045
CHEMBL3156,maccs_keys,107,125,3.2159024056764207
CHEMBL3157,embed,367,16,2.4969361834584505
CHEMBL3157,mfp_r2_1024,367,876,4.537835028668456
CHEMBL3157,maccs_keys,367,134,3.505024361309012
CHEMBL3160,embed,373,16,2.3433401872869397
CHEMBL3160,mfp_r2_1024,373,783,6.904169016913937
CHEMBL3160,maccs_keys,373,123,4.388459331270983
CHEMBL3181,embed,312,16,2.516633295383659
CHEMBL3181,mfp_r2_1024,312,839,7.638211396147136
CHEMBL3181,maccs_keys,312,135,4.817728299703653
CHEMBL3190,embed,95,16,2.315235391718448
CHEMBL3190,mfp_r2_1024,95,538,7.982671938574083
CHEMBL3190,maccs_keys,95,129,3.4738986987354994
CHEMBL3192,embed,1147,16,2.672631437326893
CHEMBL3192,mfp_r2_1024,1147,1011,7.69455832506144
CHEMBL3192,maccs_keys,1147,147,6.691084651129715
CHEMBL3194,embed,125,16,3.385199646228189
CHEMBL3194,mfp_r2_1024,125,730,7.557267685004863
CHEMBL3194,maccs_keys,125,141,5.867819952656514
CHEMBL3198,embed,233,16,2.991022090971138
CHEMBL3198,mfp_r2_1024,233,733,7.156718039076435
CHEMBL3198,maccs_keys,233,136,4.016356087920905
CHEMBL3199,embed,686,16,2.735736268311856
CHEMBL3199,mfp_r2_1024,686,950,6.895887603564439
CHEMBL3199,maccs_keys,686,143,5.398335687671208
CHEMBL3202,embed,286,16,1.8990838987644751
CHEMBL3202,mfp_r2_1024,286,866,7.924380865156677
CHEMBL3202,maccs_keys,286,144,4.722241723471003
CHEMBL3222,embed,813,16,1.8345705874876683
CHEMBL3222,mfp_r2_1024,813,984,6.221787318033226
CHEMBL3222,maccs_keys,813,140,5.697249354033295
CHEMBL3227,embed,1800,16,3.391925354424672
CHEMBL3227,mfp_r2_1024,1800,1019,8.508962522975274
CHEMBL3227,maccs_keys,1800,142,6.534012112795166
CHEMBL3229,embed,1000,16,2.539435238296742
CHEMBL3229,mfp_r2_1024,1000,983,8.125454626745725
CHEMBL3229,maccs_keys,1000,147,5.763448806100974
CHEMBL3231,embed,826,16,3.5251761707596536
CHEMBL3231,mfp_r2_1024,826,1007,8.967977215601463
CHEMBL3231,maccs_keys,826,138,7.071774458040873
CHEMBL3234,embed,248,16,2.5280059821645118
CHEMBL3234,mfp_r2_1024,248,866,7.258832921079352
CHEMBL3234,maccs_keys,248,133,5.73094667657373
CHEMBL3238,embed,223,16,2.527460453182432
CHEMBL3238,mfp_r2_1024,223,798,6.9018518775240345
CHEMBL3238,maccs_keys,223,135,3.080990435224803
CHEMBL3242,embed,2674,16,2.5581333993800865
CHEMBL3242,mfp_r2_1024,2674,1023,9.02020945929956
CHEMBL3242,maccs_keys,2674,151,6.263551061597864
CHEMBL3243,embed,141,16,3.331967194753592
CHEMBL3243,mfp_r2_1024,141,702,6.477410621857197
CHEMBL3243,maccs_keys,141,133,4.6166789525766765
CHEMBL3247,embed,288,16,1.438062475195413
CHEMBL3247,mfp_r2_1024,288,763,7.119797327657079
CHEMBL3247,maccs_keys,288,124,4.134988396330958
CHEMBL3252,embed,109,16,2.23685365666235
CHEMBL3252,mfp_r2_1024,109,572,5.980974266797513
CHEMBL3252,maccs_keys,109,120,4.574098717663732
CHEMBL3267,embed,1882,16,2.779285674996216
CHEMBL3267,mfp_r2_1024,1882,1021,8.630585307210797
CHEMBL3267,maccs_keys,1882,148,6.516451573058943
CHEMBL3273,embed,132,16,1.820575429074546
CHEMBL3273,mfp_r2_1024,132,514,6.277259008271113
CHEMBL3273,maccs_keys,132,126,4.076527111616363
CHEMBL3286,embed,571,16,2.34114509979757
CHEMBL3286,mfp_r2_1024,571,936,7.936449136044151
CHEMBL3286,maccs_keys,571,139,4.215608377221399
CHEMBL3308,embed,131,16,2.6741186766185816
CHEMBL3308,mfp_r2_1024,131,589,4.444576430732932
CHEMBL3308,maccs_keys,131,128,2.6044292793524417
CHEMBL3318,embed,592,16,2.413977507939092
CHEMBL3318,mfp_r2_1024,592,953,7.621570090352461
CHEMBL3318,maccs_keys,592,142,5.491120916532388
CHEMBL3332,embed,301,16,2.6094330383957733
CHEMBL3332,mfp_r2_1024,301,781,7.736347614687957
CHEMBL3332,maccs_keys,301,123,5.327026972311157
CHEMBL3338,embed,138,16,2.200085126521892
CHEMBL3338,mfp_r2_1024,138,652,5.104026107538613
CHEMBL3338,maccs_keys,138,128,2.990781212613163
CHEMBL3356,embed,925,16,3.409121745226332
CHEMBL3356,mfp_r2_1024,925,1021,9.08864917099158
CHEMBL3356,maccs_keys,925,147,6.598438817389463
CHEMBL3357,embed,245,16,3.437816510185639
CHEMBL3357,mfp_r2_1024,245,946,8.362170474313226
CHEMBL3357,maccs_keys,245,137,7.155911762376577
CHEMBL3358,embed,408,16,3.072783207555113
CHEMBL3358,mfp_r2_1024,408,826,8.39328982859032
CHEMBL3358,maccs_keys,408,139,4.360077991073679
CHEMBL3359,embed,250,16,1.8193287865604464
CHEMBL3359,mfp_r2_1024,250,847,5.939484350549681
CHEMBL3359,maccs_keys,250,139,4.106524872078328
CHEMBL3361,embed,137,16,2.352884560697204
CHEMBL3361,mfp_r2_1024,137,506,7.431094767088785
CHEMBL3361,maccs_keys,137,108,5.511934874923975
CHEMBL3369,embed,302,16,1.807515191292808
CHEMBL3369,mfp_r2_1024,302,765,7.877668755332598
CHEMBL3369,maccs_keys,302,130,5.789204243542155
CHEMBL3371,embed,2486,16,2.672538415402581
CHEMBL3371,mfp_r2_1024,2486,1023,9.096210412719214
CHEMBL3371,maccs_keys,2486,147,5.939220463767773
CHEMBL3374,embed,258,16,2.115999652787628
CHEMBL3374,mfp_r2_1024,258,762,4.675995621752486
CHEMBL3374,maccs_keys,258,123,4.886560515009531
CHEMBL3377,embed,182,16,2.3307969509574784
CHEMBL3377,mfp_r2_1024,182,637,6.811782292957557
CHEMBL3377,maccs_keys,182,112,5.535693022630802
CHEMBL3392,embed,125,16,2.033169838363069
CHEMBL3392,mfp_r2_1024,125,564,7.325027432328381
CHEMBL3392,maccs_keys,125,132,4.41158268112961
CHEMBL3394,embed,151,16,2.543510826471577
CHEMBL3394,mfp_r2_1024,151,552,6.832032999753794
CHEMBL3394,maccs_keys,151,121,3.735188156006893
CHEMBL3397,embed,1902,16,2.8145881214194066
CHEMBL3397,mfp_r2_1024,1902,1024,9.54559600036508
CHEMBL3397,maccs_keys,1902,148,7.220264417517427
CHEMBL3401,embed,357,16,2.708704485484933
CHEMBL3401,mfp_r2_1024,357,1000,8.47495772750572
CHEMBL3401,maccs_keys,357,149,5.459383559067233
CHEMBL3415,embed,60,16,1.5440223596800675
CHEMBL3415,mfp_r2_1024,60,389,4.800002388574414
CHEMBL3415,maccs_keys,60,90,3.4969663499890533
CHEMBL3423,embed,190,16,2.453688158961587
CHEMBL3423,mfp_r2_1024,190,590,7.706586297540485
CHEMBL3423,maccs_keys,190,132,4.195789407523105
CHEMBL3426,embed,203,16,2.625959701600435
CHEMBL3426,mfp_r2_1024,203,847,7.975609167771813
CHEMBL3426,maccs_keys,203,139,4.696442093203469
CHEMBL3427,embed,87,16,1.848404190893468
CHEMBL3427,mfp_r2_1024,87,443,7.075683979287569
CHEMBL3427,maccs_keys,87,114,3.245252805542872
CHEMBL3437,embed,202,16,3.1327066852789733
CHEMBL3437,mfp_r2_1024,202,702,7.988500416029166
CHEMBL3437,maccs_keys,202,129,4.571104770040104
CHEMBL3438,embed,159,16,2.5861423205972063
CHEMBL3438,mfp_r2_1024,159,826,6.67149392346354
CHEMBL3438,maccs_keys,159,133,4.385833013120662
CHEMBL3446,embed,82,16,2.5325611896158757
CHEMBL3446,mfp_r2_1024,82,476,6.623471987275575
CHEMBL3446,maccs_keys,82,108,4.038097956498757
CHEMBL3459,embed,281,16,1.9106842344431736
CHEMBL3459,mfp_r2_1024,281,854,6.9792639986371965
CHEMBL3459,maccs_keys,281,142,5.286829186643328
CHEMBL3464,embed,320,16,1.6520230570850616
CHEMBL3464,mfp_r2_1024,320,887,6.669372953173335
CHEMBL3464,maccs_keys,320,143,4.14883464381564
CHEMBL3465,embed,122,16,2.484176842117493
CHEMBL3465,mfp_r2_1024,122,490,6.747306850241025
CHEMBL3465,maccs_keys,122,100,4.620091725446117
CHEMBL3468,embed,330,16,2.6015342303103406
CHEMBL3468,mfp_r2_1024,330,816,5.871436598851692
CHEMBL3468,maccs_keys,330,143,2.9566113573580397
CHEMBL3471,embed,2193,16,2.694277729998857
CHEMBL3471,mfp_r2_1024,2193,1023,8.10130326153311
CHEMBL3471,maccs_keys,2193,153,6.426048685936293
CHEMBL3473,embed,564,16,2.661381872566603
CHEMBL3473,mfp_r2_1024,564,892,7.17644182958482
CHEMBL3473,maccs_keys,564,134,4.836286477890407
CHEMBL3474,embed,331,16,2.275585311490552
CHEMBL3474,mfp_r2_1024,331,796,6.963882113385318
CHEMBL3474,maccs_keys,331,141,4.709590338957364
CHEMBL3475,embed,211,16,2.5792945697411005
CHEMBL3475,mfp_r2_1024,211,726,6.04441765679172
CHEMBL3475,maccs_keys,211,134,4.528013853432726
CHEMBL3476,embed,272,16,3.2799461022051024
CHEMBL3476,mfp_r2_1024,272,855,8.068026203962129
CHEMBL3476,maccs_keys,272,131,5.624895454760982
CHEMBL3478,embed,186,16,1.6451552044485458
CHEMBL3478,mfp_r2_1024,186,671,6.211151211997301
CHEMBL3478,maccs_keys,186,133,4.482997800861785
CHEMBL3482,embed,89,16,2.5639057137453767
CHEMBL3482,mfp_r2_1024,89,429,6.472595929437464
CHEMBL3482,maccs_keys,89,115,4.547836928673759
CHEMBL3486,embed,296,16,2.383605401370436
CHEMBL3486,mfp_r2_1024,296,722,7.465801685395842
CHEMBL3486,maccs_keys,296,134,4.391117392223872
CHEMBL3501,embed,411,16,1.5626887596186958
CHEMBL3501,mfp_r2_1024,411,852,5.522541067584031
CHEMBL3501,maccs_keys,411,131,4.739204745623625
CHEMBL3510,embed,596,16,2.4603355473477024
CHEMBL3510,mfp_r2_1024,596,905,8.210670372469444
CHEMBL3510,maccs_keys,596,147,4.817375868989797
CHEMBL3514,embed,190,16,2.233814037198234
CHEMBL3514,mfp_r2_1024,190,576,5.543716982590244
CHEMBL3514,maccs_keys,190,122,3.526942160367493
CHEMBL3522,embed,355,16,1.6234937723335594
CHEMBL3522,mfp_r2_1024,355,868,7.795006446785944
CHEMBL3522,maccs_keys,355,136,4.666112209945495
CHEMBL3524,embed,287,16,1.7461661436144351
CHEMBL3524,mfp_r2_1024,287,865,6.754849686338123
CHEMBL3524,maccs_keys,287,141,5.496788463796763
CHEMBL3526,embed,88,16,1.72132102326562
CHEMBL3526,mfp_r2_1024,88,515,7.4563429887838035
CHEMBL3526,maccs_keys,88,121,4.103050867096208
CHEMBL3529,embed,144,16,3.5953543179044685
CHEMBL3529,mfp_r2_1024,144,843,8.582023002215102
CHEMBL3529,maccs_keys,144,136,7.553951019116005
CHEMBL3535,embed,303,16,1.6785637618238527
CHEMBL3535,mfp_r2_1024,303,836,7.502704773381413
CHEMBL3535,maccs_keys,303,129,4.587978455539948
CHEMBL3553,embed,826,16,2.6863941548374703
CHEMBL3553,mfp_r2_1024,826,1008,8.043113021549592
CHEMBL3553,maccs_keys,826,141,6.385894329876104
CHEMBL3559,embed,209,16,1.8664955048361351
CHEMBL3559,mfp_r2_1024,209,664,5.558748859585965
CHEMBL3559,maccs_keys,209,136,3.526155995697517
CHEMBL3563,embed,411,16,3.401662563952121
CHEMBL3563,mfp_r2_1024,411,968,7.264131282638906
CHEMBL3563,maccs_keys,411,144,5.624908090186988
CHEMBL3568,embed,512,16,1.8481646043854123
CHEMBL3568,mfp_r2_1024,512,921,8.181179924542734
CHEMBL3568,maccs_keys,512,142,5.586242654676154
CHEMBL3571,embed,1103,16,2.3255103060423306
CHEMBL3571,mfp_r2_1024,1103,1006,7.132780552515452
CHEMBL3571,maccs_keys,1103,147,4.659949161174646
CHEMBL3572,embed,861,16,2.5685066651256605
CHEMBL3572,mfp_r2_1024,861,984,6.583881223494431
CHEMBL3572,maccs_keys,861,148,5.172562806501917
CHEMBL3582,embed,225,16,2.3699910282352525
CHEMBL3582,mfp_r2_1024,225,871,6.2781987648960165
CHEMBL3582,maccs_keys,225,133,4.68548837361111
CHEMBL3587,embed,615,16,3.428581077076972
CHEMBL3587,mfp_r2_1024,615,995,8.120472860485023
CHEMBL3587,maccs_keys,615,139,5.705902823429987
CHEMBL3589,embed,327,16,2.6872932180803866
CHEMBL3589,mfp_r2_1024,327,770,7.653283308527583
CHEMBL3589,maccs_keys,327,126,4.793627762037584
CHEMBL3590,embed,281,16,1.7781688768413804
CHEMBL3590,mfp_r2_1024,281,721,6.994874465679001
CHEMBL3590,maccs_keys,281,124,4.457813954777276
CHEMBL3593,embed,108,16,2.134026751043407
CHEMBL3593,mfp_r2_1024,108,555,7.080966890350604
CHEMBL3593,maccs_keys,108,132,4.964695831114908
CHEMBL3594,embed,3158,16,2.552329304322846
CHEMBL3594,mfp_r2_1024,3158,1024,9.1209138683892
CHEMBL3594,maccs_keys,3158,152,6.430468469758833
CHEMBL3602,embed,397,16,2.631134731247037
CHEMBL3602,mfp_r2_1024,397,859,7.945196693432044
CHEMBL3602,maccs_keys,397,135,5.786131785591456
CHEMBL3616,embed,125,16,1.560963824002512
CHEMBL3616,mfp_r2_1024,125,736,5.569171046697067
CHEMBL3616,maccs_keys,125,126,4.113217811483706
CHEMBL3622,embed,1049,16,2.7692961068094437
CHEMBL3622,mfp_r2_1024,1049,1023,8.917874259951693
CHEMBL3622,maccs_keys,1049,145,6.656950938633612
CHEMBL3623,embed,81,16,2.5240016012946103
CHEMBL3623,mfp_r2_1024,81,558,8.628600417387334
CHEMBL3623,maccs_keys,81,136,4.085173286715247
CHEMBL3629,embed,751,16,3.4269975829055954
CHEMBL3629,mfp_r2_1024,751,1004,7.790318675159262
CHEMBL3629,maccs_keys,751,148,6.731429165313971
CHEMBL3649,embed,726,16,3.207794190522425
CHEMBL3649,mfp_r2_1024,726,911,7.025050212879798
CHEMBL3649,maccs_keys,726,142,6.276935572158432
CHEMBL3650,embed,1542,16,3.361134309721117
CHEMBL3650,mfp_r2_1024,1542,1024,7.253881698763066
CHEMBL3650,maccs_keys,1542,148,6.428885449349793
CHEMBL3655,embed,213,16,2.3258154057210145
CHEMBL3655,mfp_r2_1024,213,692,6.860867907288248
CHEMBL3655,maccs_keys,213,124,4.862247756272993
CHEMBL3656,embed,133,16,2.612208636299358
CHEMBL3656,mfp_r2_1024,133,581,6.257054285638396
CHEMBL3656,maccs_keys,133,132,3.545693175296398
CHEMBL3658,embed,144,16,2.8964355980234275
CHEMBL3658,mfp_r2_1024,144,739,4.806717083664528
CHEMBL3658,maccs_keys,144,136,4.0845645278510165
CHEMBL3691,embed,389,16,2.5517747830717186
CHEMBL3691,mfp_r2_1024,389,917,7.244204368698412
CHEMBL3691,maccs_keys,389,146,4.933278554375064
CHEMBL3706,embed,1252,16,2.5406604137311617
CHEMBL3706,mfp_r2_1024,1252,1018,7.876390800796526
CHEMBL3706,maccs_keys,1252,145,5.366314011788405
CHEMBL3710,embed,287,16,2.502031639732234
CHEMBL3710,mfp_r2_1024,287,820,7.780063974555523
CHEMBL3710,maccs_keys,287,129,3.88577803900556
CHEMBL3717,embed,2271,16,3.658624432364013
CHEMBL3717,mfp_r2_1024,2271,1024,8.049988971177713
CHEMBL3717,maccs_keys,2271,145,7.006153974469579
CHEMBL3719,embed,222,16,1.6866731789500564
CHEMBL3719,mfp_r2_1024,222,698,5.352685246212055
CHEMBL3719,maccs_keys,222,119,4.626753200670339
CHEMBL3721,embed,207,16,2.529299525122817
CHEMBL3721,mfp_r2_1024,207,944,6.568466644726411
CHEMBL3721,maccs_keys,207,137,5.211441888438199
CHEMBL3729,embed,492,16,2.4850694126808857
CHEMBL3729,mfp_r2_1024,492,919,7.378336216839111
CHEMBL3729,maccs_keys,492,146,5.078341880364828
CHEMBL3746,embed,134,16,1.8959958026467816
CHEMBL3746,mfp_r2_1024,134,705,6.201713078960008
CHEMBL3746,maccs_keys,134,132,4.171128362655797
CHEMBL3753,embed,73,16,1.7620283492794817
CHEMBL3753,mfp_r2_1024,73,454,5.572888258934027
CHEMBL3753,maccs_keys,73,116,3.6883047571393366
CHEMBL3759,embed,825,16,1.847264231671635
CHEMBL3759,mfp_r2_1024,825,945,8.826999570305821
CHEMBL3759,maccs_keys,825,143,5.652998021285634
CHEMBL3764,embed,380,16,2.761287449026932
CHEMBL3764,mfp_r2_1024,380,828,4.181023198708993
CHEMBL3764,maccs_keys,380,133,3.984145830955877
CHEMBL3768,embed,192,16,2.2183190384821394
CHEMBL3768,mfp_r2_1024,192,584,7.732464785029037
CHEMBL3768,maccs_keys,192,129,5.085208212325385
CHEMBL3769,embed,613,16,2.5961523915374967
CHEMBL3769,mfp_r2_1024,613,958,7.289499279076808
CHEMBL3769,maccs_keys,613,147,4.982244007280437
CHEMBL3771,embed,153,16,1.824171935653414
CHEMBL3771,mfp_r2_1024,153,595,6.055884614549337
CHEMBL3771,maccs_keys,153,128,4.344899682829853
CHEMBL3772,embed,512,16,2.43701704774794
CHEMBL3772,mfp_r2_1024,512,923,7.088080318224938
CHEMBL3772,maccs_keys,512,140,4.654478000251385
CHEMBL3778,embed,1213,16,2.656115196890696
CHEMBL3778,mfp_r2_1024,1213,1016,6.830735215955698
CHEMBL3778,maccs_keys,1213,137,6.44244284845332
CHEMBL3785,embed,295,16,2.7274011519394867
CHEMBL3785,mfp_r2_1024,295,783,7.6865909167375825
CHEMBL3785,maccs_keys,295,130,4.865706117584398
CHEMBL3788,embed,329,16,3.5297311991047207
CHEMBL3788,mfp_r2_1024,329,976,8.32508116912504
CHEMBL3788,maccs_keys,329,140,7.139908140584318
CHEMBL3795,embed,442,16,1.68985053482436
CHEMBL3795,mfp_r2_1024,442,888,5.550463952606177
CHEMBL3795,maccs_keys,442,134,4.958398354865688
CHEMBL3798,embed,299,16,2.561833996274078
CHEMBL3798,mfp_r2_1024,299,815,4.8159423597129045
CHEMBL3798,maccs_keys,299,122,4.601260221361207
CHEMBL3807,embed,512,16,1.7898385284846658
CHEMBL3807,mfp_r2_1024,512,973,6.180836793023899
CHEMBL3807,maccs_keys,512,140,4.84806546292299
CHEMBL3815,embed,400,16,2.1398998684830044
CHEMBL3815,mfp_r2_1024,400,886,6.058537175420345
CHEMBL3815,maccs_keys,400,144,3.6498467255628846
CHEMBL3816,embed,230,16,2.7643765321678586
CHEMBL3816,mfp_r2_1024,230,756,6.167921584192323
CHEMBL3816,maccs_keys,230,137,4.306103442558595
CHEMBL3820,embed,792,16,2.8332723923295737
CHEMBL3820,mfp_r2_1024,792,959,7.517641380477832
CHEMBL3820,maccs_keys,792,136,5.287331480167482
CHEMBL3829,embed,214,16,3.420365053959107
CHEMBL3829,mfp_r2_1024,214,914,8.119220331045263
CHEMBL3829,maccs_keys,214,138,7.0570956805706
CHEMBL3831,embed,269,16,3.3578919883356133
CHEMBL3831,mfp_r2_1024,269,948,8.146809069749143
CHEMBL3831,maccs_keys,269,135,6.90376845262637
CHEMBL3835,embed,229,16,2.6019201857495866
CHEMBL3835,mfp_r2_1024,229,932,8.17795479053806
CHEMBL3835,maccs_keys,229,137,6.307561396271461
CHEMBL3836,embed,346,16,3.5141966713609176
CHEMBL3836,mfp_r2_1024,346,974,9.018107820027552
CHEMBL3836,maccs_keys,346,140,7.316612497226926
CHEMBL3837,embed,1307,16,2.625881119601444
CHEMBL3837,mfp_r2_1024,1307,1013,7.58303407387432
CHEMBL3837,maccs_keys,1307,142,5.689464232296646
CHEMBL3858,embed,382,16,2.477068381126328
CHEMBL3858,mfp_r2_1024,382,880,6.362598778990985
CHEMBL3858,maccs_keys,382,141,3.769656590545301
CHEMBL3863,embed,113,16,1.780641655712662
CHEMBL3863,mfp_r2_1024,113,688,7.056012802596468
CHEMBL3863,maccs_keys,113,119,5.376520614407624
CHEMBL3864,embed,355,16,2.7281530254640463
CHEMBL3864,mfp_r2_1024,355,965,8.250768873131689
CHEMBL3864,maccs_keys,355,146,5.835910890736019
CHEMBL3868,embed,79,16,1.6783360555916425
CHEMBL3868,mfp_r2_1024,79,332,5.508996940146397
CHEMBL3868,maccs_keys,79,99,3.996866409881982
CHEMBL3869,embed,516,16,2.5169114370552035
CHEMBL3869,mfp_r2_1024,516,981,6.892268034436862
CHEMBL3869,maccs_keys,516,145,5.282461391485377
CHEMBL3880,embed,873,16,1.8323331956608824
CHEMBL3880,mfp_r2_1024,873,1011,7.275520915351823
CHEMBL3880,maccs_keys,873,146,5.473339484651747
CHEMBL3884,embed,632,16,3.087115200596397
CHEMBL3884,mfp_r2_1024,632,925,7.221623355515831
CHEMBL3884,maccs_keys,632,143,4.716221115902258
CHEMBL3890,embed,176,16,2.418756077798157
CHEMBL3890,mfp_r2_1024,176,697,5.401834789224887
CHEMBL3890,maccs_keys,176,128,3.815205049703213
CHEMBL3891,embed,450,16,2.40135751871614
CHEMBL3891,mfp_r2_1024,450,855,7.592979944447741
CHEMBL3891,maccs_keys,450,140,5.042433367940737
CHEMBL3892,embed,682,16,3.12016392829359
CHEMBL3892,mfp_r2_1024,682,953,6.918556477052455
CHEMBL3892,maccs_keys,682,141,4.84542465796781
CHEMBL3897,embed,115,16,2.0922806532289586
CHEMBL3897,mfp_r2_1024,115,502,5.86817051964846
CHEMBL3897,maccs_keys,115,99,3.709764974592913
CHEMBL3898,embed,346,16,2.492683051996223
CHEMBL3898,mfp_r2_1024,346,808,6.797083112818996
CHEMBL3898,maccs_keys,346,131,4.412753099118937
CHEMBL3905,embed,353,16,2.6387959605498432
CHEMBL3905,mfp_r2_1024,353,972,8.517421121307512
CHEMBL3905,maccs_keys,353,137,6.666556146775822
CHEMBL3910,embed,873,16,1.8299320557851733
CHEMBL3910,mfp_r2_1024,873,1001,7.788992872925105
CHEMBL3910,maccs_keys,873,138,5.293651812601829
CHEMBL3911,embed,247,16,3.0799334592692387
CHEMBL3911,mfp_r2_1024,247,743,6.504974782135314
CHEMBL3911,maccs_keys,247,141,5.297711677891451
CHEMBL3913,embed,95,16,2.383616325062368
CHEMBL3913,mfp_r2_1024,95,516,6.025762504662589
CHEMBL3913,maccs_keys,95,128,3.597157953819774
CHEMBL3920,embed,423,16,3.422839168483012
CHEMBL3920,mfp_r2_1024,423,967,7.325780337995275
CHEMBL3920,maccs_keys,423,141,5.547543287322494
CHEMBL3921,embed,145,16,2.169972229407616
CHEMBL3921,mfp_r2_1024,145,652,5.726819378785431
CHEMBL3921,maccs_keys,145,132,3.898254938644213
CHEMBL3922,embed,410,16,2.617612120714547
CHEMBL3922,mfp_r2_1024,410,782,7.535213544457684
CHEMBL3922,maccs_keys,410,136,3.680397101490017
CHEMBL3942,embed,195,16,2.55268494668616
CHEMBL3942,mfp_r2_1024,195,751,4.977184204710896
CHEMBL3942,maccs_keys,195,124,4.4212358820285225
CHEMBL3943,embed,412,16,1.81772666427715
CHEMBL3943,mfp_r2_1024,412,892,7.181654325435073
CHEMBL3943,maccs_keys,412,140,4.868249129541078
CHEMBL3948,embed,601,16,2.428525050194549
CHEMBL3948,mfp_r2_1024,601,887,7.008014767492786
CHEMBL3948,maccs_keys,601,127,4.238201067104854
CHEMBL3949,embed,260,16,1.9228252640491408
CHEMBL3949,mfp_r2_1024,260,742,5.559898842309927
CHEMBL3949,maccs_keys,260,126,3.491587134587884
CHEMBL3952,embed,1173,16,1.8014087302721364
CHEMBL3952,mfp_r2_1024,1173,1015,6.35719992246871
CHEMBL3952,maccs_keys,1173,142,6.264436741332386
CHEMBL3961,embed,144,16,2.418747811037569
CHEMBL3961,mfp_r2_1024,144,742,7.509300342672543
CHEMBL3961,maccs_keys,144,119,5.287331480167491
CHEMBL3972,embed,74,16,2.33728207577958
CHEMBL3972,mfp_r2_1024,74,447,6.6795998097453255
CHEMBL3972,maccs_keys,74,90,4.3298834709219145
CHEMBL3973,embed,516,16,1.8228209787778085
CHEMBL3973,mfp_r2_1024,516,924,7.762371046465855
CHEMBL3973,maccs_keys,516,131,6.334208896748669
CHEMBL3974,embed,460,16,1.6769323359646282
CHEMBL3974,mfp_r2_1024,460,871,4.723448756947119
CHEMBL3974,maccs_keys,460,141,3.9275799428470153
CHEMBL3976,embed,506,16,1.851093777260457
CHEMBL3976,mfp_r2_1024,506,878,7.833590847473531
CHEMBL3976,maccs_keys,506,137,5.471421081753919
CHEMBL3979,embed,965,16,3.278030376486348
CHEMBL3979,mfp_r2_1024,965,990,7.7159961200083
CHEMBL3979,maccs_keys,965,141,5.663760103288468
CHEMBL3983,embed,724,16,2.72945497620436
